Code,Mes.,Annotations de mesures,Remarques / observations,Analyse personnelle / TP de séminaire,,,,,,,,,,,,,
graph- int-,392,Harpe: gamme par ton,,,,,,,,,,,,,,,
int-,392,Cordes: même accord à la mes.376,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
int-,394,Bois: reprise thème de la bêtise un demi-ton plus haut,,,,,,,,,,,,,,,
for-,396,Refrain: nuances plus fortes...Orchestre de soliste (plus allant),,,,,,,,,,,,,,,
int-,396-97,Flûte: pédale de Sol,,,,,,,,,,,,,,,
int-,396-97,Superposition de 4te (bois plutôt que cuivre),,,,,,,,,,,,,,,
int-,396,Harpe et cuivre: montée de quarte,,,,,,,,,,,,,,,
graph- tim-,396,Relais entre le cor et la voix,,,,,,,,,,,,,,,
int-,396-97,Accord de 4te aux violons...arpège de 4te au violoncelle solo (cf harpe m.380)...Descente d'arpège différente,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
int-,398,Flûte: pédale de Sol,,,,,,,,,,,,,,,
int-,398,Marie: plutôt que b (mes.382)...Sol bémol à 8ve,Passage pas très clair,,,,,,,,,,,,,,
int-,399,Anticipation rythme du Ré,,,,,,,,,,,,,,,
int-,398-99,"Vlc: arpège de 4te...Aux violons: voix supplémentaire, parallélisme de 4te",,,,,,,,,,,,,,,
graph- tim-,399,Doublure entre cl. et voix,,,,,,,,,,,,,,,
graph- int-,399-403,Chiffrage accords,,,,,,,,,,,,,,,
graph- mo-,400,"Marie: Sommet en douceur et descente en 3ces...Rétrograde du lever de sang de lune (p.410), fatalité, III,5",,,,,,,,,,,,,,,
graph- int-,400,Descente chromatique des accords au cordes...Décalage rythmique des arpèges,Quelques chiffrages,,,,,,,,,,,,,,
tim-,403,Tam-tam: sonorité mahlérienne,,,,,,,,,,,,,,,
int-,403,Relais pédale de Sol au cors,,,,,,,,,,,,,,,
graph- tim-,402-403,Relais entre fl. et cor,,,,,,,,,,,,,,,
graph- mo-,403,Thème berceuse,,,,,,,,,,,,,,,
graph- int-,405,Frottement de 2de entre clarinette basse et basson,,,,,,,,,,,,,,,
graph- for-,407,Reprise thème couplet au trombone,,,,,,,,,,,,,,,
graph- int-,405-07,Descente de la basse,,,,,,,,,,,,,,,
graph- int-,410-11,Chiffrage accords,,,,,,,,,,,,,,,
mo-,412,Endormissement de Marie et de l'enfant,,,,,,,,,,,,,,,
mo-,412,L'attente de Marie existait précédement dans l'accord de 7e sur Do,Pas certain des derniers mots,a,,,,,,,,,,,,,
mo-,412,"Arrivée de Wozzeck (I,3 m.425-28), départ de Wozzeck (I,3 m.453)",,,,,,,,,,,,,,,
mo-,415,"Prémonition vague de sa propre mort (III,2 m.106, III,3 m.???, III,5 m.379",Pas clair pour numéro de mesure,,,,,,,,,,,,,,
int-,415,"Superposition de 5te...4te inversée de l'attente...5te (harmonique), 4te (ostinato)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
tim-,417,Entrée dans le monde onirique (Marie repousse la prémonition),,,,,,,,,,,,,,,
tim-,417,Celesta: onirique...Harpe: descente et remontée,,,,,,,,,,,,,,,
graph- int-,417-20,Chiffrage accords,,,,,,,,,,,,,,,
int-,419,Polytonal...Irruption venant de loin,,,,,,,,,,,,,,,
mo-,419,"Thème du tambour-major, Marie rêve au T-M (5te)...Autre strate de tempo",Queques chiffrage (7e maj m.417) (3/4 m.420),,,,,,,,,,,,,,
tim-,422,"Trompette: reminiscence de la marche militaire (orchestre militaire...m.334, même hauteur)",,,,,,,,,,,,,,,
int-,422,Arpège du celesta: Si est une perturbatino de l'accod (Si-Fa: la mort de Wozzeck arrive),,,,,,,,,,,,,,,
tim-,422,Changement de mode de jeu à la harpe en sons arpégés pour rejoindre le celesta,,,,,,,,,,,,,,,
int-,422,Changement d'harmonie (Mi-Fa-La-Si) (Fa-Si 4te aug.),,,,,,,,,,,,,,,
graph-,424,,texte ilisible,,,,,,,,,,,,,,
mo-,425,5te de Marie au cordes et Si-Fa à la harpe...Cf mort de Marie,,,,,,,,,,,,,,,
mo-,427,"Arrivée de W... Bois: Hetzmotif, motif de l'arrivée de Wozzeck, inquiétante arrivée",,,,,,,,,,,,,,,
graph- mo-,427,Début du motif en imitation au trombone,,,,,,,,,,,,,,,
mo-,428,Flûtes: 4te,,,,,,,,,,,,,,,
mo-,428,C'est aussi par la fenêtre que Marie avait vu le T-M...Distance entre Marie et Wozzeck,,,,,,,,,,,,,,,
mo-,428,"""Bist Du's Franz"" (4te)",,,,,,,,,,,,,,,
tim-,429,"Alto: Geste rude, mécanique et carré, ressemble au motif de la bêtise de Wozzeck",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
tim-,430,Alto: figure aussi le bois coupé,,,,,,,,,,,,,,,
graph- int-,431,Do maj!,,,,,,,,,,,,,,,
mo-,433,"Marie: arpège de 3ce (""Wir arme leut"")",,,,,,,,,,,,,,,
int-,433,Cordes: bribe troublée de la rêverie ...2 Accords dim. de superposition en 6te ,Quelques mots pas clair en bas de page,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
graph- tim-,435,"Flzg aux cuivres (cf. I,2 p.62)",,,,,,,,,,,,,,,
int-,435,Percussion: imitation avec expansion de l'intervalle,,,,,,,,,,,,,,,
int-,435,Mélodie dans la succession des accords,,,,,,,,,,,,,,,
graph- int-,434-435,7m,,,,,,,,,,,,,,,
graph- int-,435-436,Chiffrage accords,,,,,,,,,,,,,,,
int-,436,Succession d'accord de 5te (Marie dans Wozzeck),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
mo-,437,Motif de la frayeur en accord de 5te au cordes...Effroi de Marie et/ou W,,,,,,,,,,,,,,,
int-,438,Relation de 5te entre Marie et Wozzeck durant le relais mélodique,,,,,,,,,,,,,,,
mo-,438,Rêverie de Marie (souvenir),mots illisibles à la fin de page,,,,,,,,,,,,,,
graph- int-,499,"Contrebasson: 2de min, frayeur",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
tim-,440,Contrebasson: 6/4 trillé (cf. p.50),,,,,,,,,,,,,,,
mo-,440,"Marie: ""Wir arme leut"" rétrograde",,,,,,,,,,,,,,,
mo-,441-42,Basson: figuralisme d'une rotation d'amplitude décroissante (cf. p.50 m.235),,,,,,,,,,,,,,,
graph- int-,443-446,Relais mélodique,,,,,,,,,,,,,,,
mo-,444,Marie: citation de la bible,,,,,,,,,,,,,,,
graph- int-,445,Chiffrage accords,,,,,,,,,,,,,,,
mo-,447,Marie apeurée,,,,,,,,,,,,,,,
tim-,447,Trombone: couleur d'outre tombe,,,,,,,,,,,,,,,
mo-,447,"Cordes: variante et extension du motif de la frayeur...Descente en gamme par ton (cf m.242, desc, chroma.)",,,,,,,,,,,,,,,
int-,448,La bémol- Sol bémol: notes pédales de la fin de scène...2de mj. pour la peur...Trille qui s'accélère,,,,,,,,,,,,,,,
mo-,488,Altos: motif de ??? de W,Pas clair,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
tim-,449,"Deux mondes: Wozzeck: vents, harpe... Marie: Cordes",,,,,,,,,,,,,,,
mo-,449,"Trompettes: 2min, sang",,,,,,,,,,,,,,,
graph- mo-,449,Cors: Fa dièse: la mort,,,,,,,,,,,,,,,
graph- mo-,449,"Piccolos: l'enfant et Marie, 4te et 5te...Accord de 2de (berceuse et rêverie)",,,,,,,,,,,,,,,
mo-,449,Contrebasse et Vlc: geste proche du motif de la frayeur (cf. III m.232),,,,,,,,,,,,,,,
graph- mo-,449,III. cf. ref. mes.232,,,,,,,,,,,,,,,
tim-,449-50,Cordes: changement harmonique en fondu enchaîné (cf. début de la scène 2),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
tim-,451,"Monde percussif (bois, cuivre, percussion)...Monde continu (cordes)",,,,,,,,,,,,,,,
graph- mo-,451,Marie et Wozzeck dans deux mondes différents...Scission entre les deux...Pas de note commune,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
tim-,453,Cordes: ralentissement,,,,,,,,,,,,,,,
mo-,453,"Wozzeck: Si-Ré, notes de Marie en Wozzeck",,,,,,,,,,,,,,,
graph- int-,453-455,Chiffrage accords,,,,,,,,,,,,,,,
graph- mo-,454,Bois: rétrograde de l'arrivée de Wozzeck (Hetzmotif) (cf. m.427),,,,,,,,,,,,,,,
graph- tim-,454,harpe: départ de Wozzeck,,,,,,,,,,,,,,,
int-,454,"Cordes: 2de min et maj (La-Si, Mi-fa)...La peur, le sang...Mais aussi 2 5te",,,,,,,,,,,,,,,
graph- mo-,455,Bois: Marie attend toujours,un chiffrage à la toute fin de la page,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
mo-,456,"Marie: cf. p.127, Wozzeck n'a pas pu lui communiquer ce qu'il voulait",,,,,,,,,,,,,,,
graph- mo-,457-60,"Harpe et flûte: ""Wir arme leut""",,,,,,,,,,,,,,,
int-,458,Marie: gamme chromatique desc.,,,,,,,,,,,,,,,
mo-,459,"Cordes: la peur, intervalle de 4te",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
int-,460,Violons: 2de et 5te,,,,,,,,,,,,,,,
graph- mo-,462,Cors: motif de la peur de Marie,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
graph- mo-,463,"Cors: 2de maj, la peur",,,,,,,,,,,,,,,
mo-,463,Entre Cor et pédale à la contrebasse: 2de min (le sang),,,,,,,,,,,,,,,
graph- int-,465,Chiffrage accords,,,,,,,,,,,,,,,
grahp- mo-,467,Marie: Klagelaut/Wir arme leut (ce n'est pas une question d'argent comme pour Wozzeck),,,,,,,,,,,,,,,
graph- int-,467-468,GP,,,,,,,,,,,,,,,
int-,468,Deux notes pédale depuis p.92,,,,,,,,,,,,,,,
graph- int-,468-469,Cordes: intervalles,,,,,,,,,,,,,,,
mo-,470,"Marie: ? désir de mort (Si-Fa), prémonition ",,,,,,,,,,,,,,,
int-,472,Contrebasse: Sol bémol-La bémol,,,,,,,,,,,,,,,
graph,,II...II,Catégorie à préciser ,,,,,,,,,,,,,,
graph- mo-,476-77,Violons: Klagelaut...Et ensuite imiation canonique au cuivres,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
graph- int-,480,Chiffrage accords,,,,,,,,,,,,,,,
graph- mo-,482,La-Ré...Fa-Si...Ref m.50 et 169,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
int-,484,"Cor: Pédale de La (Fa avec Mi bémol, 1ere du ??? de la ???",texte pas clair,,,,,,,,,,,,,,
graph-int-,486,Clarinette: imitation avec diminution de l'expression...Total chromatique,,,,,,,,,,,,,,,
tim-,486,Clarinette: représente le caractère ???....Accel écrit ???,texte pas clair,,,,,,,,,,,,,,
tim-,,Clarinette: Passcaille ...??? Apparition d'une sorte d'allégresse ,texte pas clair,,,,,,,,,,,,,,
